Nro,Nombre,NroCarreras,Direccion,Telefono
1,Facultad de Agronomía,3,Av. Saavedra Nº 2224 - Miraflores - La Paz,(2) 2222334
2,Facultad de Arquitectura - Artes - Diseño y Urbanismo,3,Calle Potosí Nº 145 - Zona Central - La Paz,(2) 2312345
3,Facultad de Ciencias Económicas y Financieras,3,Av. 6 de Agosto Nº 2170 - Zona Central - La Paz,(2) 2445678
4,Facultad de Ciencias Farmacéuticas y Bioquímicas,2,Calle Landaeta Nº 115 - Sopocachi - La Paz,(2) 2431122
5,Facultad de Ciencias Geológicas,3,Calle 27 de Cota Cota Nº 100 - La Paz,(2) 2793344
6,Facultad de Ciencias Puras y Naturales,6,Calle 27 de Cota Cota Nº 100 - La Paz,(2) 2793344
7,Facultad de Ciencias Sociales,4,Av. 6 de Agosto Nº 2170 - Zona Central - La Paz,(2) 2445678
8,Facultad de Derecho y Ciencias Políticas,3,Av. 6 de Agosto Nº 2170 - Zona Central - La Paz,(2) 2445678
9,Facultad de Humanidades y Ciencias de la Educación,7,Calle Potosí Nº 145 - Zona Central - La Paz,(2) 2312345
10,Facultad de Ingeniería,11,Calle 27 de Cota Cota Nº 100 - La Paz,(2) 2793344
11,Facultad de Medicina - Enfermería - Nutrición y Tecnología Médica,4,Av. Saavedra Nº 2224 - Miraflores - La Paz,(2) 2222334
12,Facultad de Odontología,1,Av. Saavedra Nº 2224 - Miraflores - La Paz,(2) 2222334
13,Facultad de Tecnología,9,Av. Villazón Nº 1995 - Plaza del Bicentenario - La Paz,(2) 2612298
